Score_Comercial,Es_Desarrollo_Propio,Precio_Confiable,Municipio,Colonia,Operación,Tipo,Título/Colonia,Precio,precio_m2,precio_m2_vs_mediana,Recámaras,Baños,m²,Completitud,codigo_eb,Liga,lat,lon
71.2,,True,Guadalajara,San Juan de Dios,RENTA,Local en centro comercial,SE RENTA LOCAL EQUIPADO PARA RESTAURANT BAR,20000.0,96.15384615384616,0.7213500784929356,,4.0,208.0,0.75,EB-SC8200,https://www.aciertamax.com/property/se-vende-local-equipado-para-restaurant-bar-san-juan-de-dios,20.6750684,-103.3429137
70.9,,True,Guadalajara,Americana,VENTA,Departamento,"Departamento en Venta en Av. De La Paz, Guadalajara, Jalisco",3250000.0,28017.241379310344,0.575875662694277,2.0,1.0,116.0,1.0,EB-WJ5697,https://www.aciertamax.com/property/departamentos-en-venta-en-av-de-la-paz-guadalajara-jalisco-americana,20.6724249,-103.376856
70.8,,True,Guadalajara,Independencia,VENTA,Casa con uso de suelo,"Propiedad en venta con 5 departamentos, 3 locales, esquina en calz independencia",8800000.0,11585.959923111357,0.5739623825018763,11.0,5.0,759.54,1.0,EB-WG7888,https://www.aciertamax.com/property/propiedad-en-venta-con-5-departamentos-y-3-locales-col-independencia,20.694408,-103.3316867
70.8,,True,Zapopan,Jardines Del Sol,RENTA,Departamento,🏡 DEPARTAMENTO RECIÉN REMODELADO EN RENTA. JARDINES DEL SOL,17000.0,130.76923076923077,0.5728424183375211,3.0,2.0,130.0,1.0,EB-XA8851,https://www.aciertamax.com/property/departamento-recien-remodelado-en-renta-jardines-del-sol,20.6529545,-103.4155955
70.7,,True,Tlaquepaque,Paseos Lago,VENTA,Casa,Casa de Campo por Carretera a Chapala  - Terraza para eventos,10900000.0,7676.056338028169,0.7110167660800651,2.0,,1420.0,0.75,EB-SY1688,https://www.aciertamax.com/property/casa-de-campo-por-carretera-a-chapala-terraza-para-eventos,21.3648761,-101.9039387
70.6,,True,Guadalajara,Guadalajara Centro,VENTA,Casa,"Casa en Venta, Guadalajara Centro, Jalisco",8000000.0,11799.410029498526,0.5682784563651686,9.0,3.0,678.0,1.0,EB-VE1261,https://www.aciertamax.com/property/casa-en-venta-guadalajara-centro-jalisco,20.6820231,-103.3519915
70.6,,True,Guadalajara,Lomas del Paraíso 3a. Sección,VENTA,Casa,"CASA  EN VENTA EN COLONIA LOMAS DEL PARAÍSO, GUADALAJARA",3000000.0,11764.70588235294,0.5695482256111534,5.0,1.0,255.0,1.0,EB-TZ4627,https://www.aciertamax.com/property/casa-en-venta-en-colonia-lomas-del-paraiso-guadalajara,20.7315048,-103.3248586
70.4,,True,Guadalajara,El Retiro,VENTA,Casa,"Casa en Venta en Guadalajara, Calle Brillante, Col. El Retiro",4300000.0,11911.357340720222,0.5641824832711262,7.0,1.0,361.0,1.0,EB-WW0381,https://www.aciertamax.com/property/casa-en-venta-en-guadalajara-calle-brillante-col-el-retiro-el-retiro,20.6893633,-103.3393111
70.4,,True,Zapopan,Vallarta Universidad,RENTA,Departamento,"Departamento de 366 m2 en renta, con alberca, sobre Av. Juan Palomar y Arias",49000.0,133.56957884694015,0.5636950837110872,3.0,3.0,366.85,1.0,EB-WY3648,https://www.aciertamax.com/property/depa-de-366-m2-renta-de-dos-pisos-alberca-sobre-av-juan-palomar-y-arias,20.6913816,-103.4264784
70.3,,True,Tlajomulco de Zúñiga,Rinconada de Los Nogales I y II,VENTA,Casa,San Agustín,8500000.0,11805.555555555555,0.5624289350080762,5.0,4.0,720.0,1.0,EB-WS8516,https://www.aciertamax.com/property/san-agustin-rinconada-de-los-nogales-i-y-ii-tlajomulco-de-zuniga,20.4563334,-103.4166113
